Conj1					《「から」：根拠・理由用法の「から」：前件の含意》		yes	"conjunction, kara"	entailment	行動や判断の理由や根拠を表す用法。	ここは危ないから、入ってはいけません。	ここは危ない。
Conj2					《「から」：根拠・理由用法の「から」：前件の含意》		yes	"conjunction, kara"	entailment		午後に来客があるから、部屋を掃除した。	午後に来客がある。
Conj3					《「から」：根拠・理由用法の「から」：前件の含意》		yes	"conjunction, kara"	entailment		何もすることがなくて暇だったから、テレビをつけた。	何もすることがなくて暇だった。
Conj4					《「から」：根拠・理由用法の「から」：前件の含意》		yes	"conjunction, kara"	entailment		今月は仕事を頑張ったから、美味しいものでも食べよう。	今月は仕事を頑張った。
Conj5					《「から」：根拠・理由用法の「から」：前件の含意》		yes	"conjunction, kara"	entailment		来年は忙しくなるだろうから、今年のうちに遊んでおこう。	来年は忙しくなるだろう。
Conj6					《「から」：根拠・理由用法の「から」：後件の含意》		yes	"conjunction, kara"	entailment		ここは危ないから、入ってはいけません。	入ってはいけません。
Conj7					《「から」：根拠・理由用法の「から」：後件の含意》		yes	"conjunction, kara"	entailment		午後に来客があるから、部屋を掃除した。	部屋を掃除した。
Conj8					《「から」：根拠・理由用法の「から」：後件の含意》		yes	"conjunction, kara"	entailment		何もすることがなくて暇だったから、テレビをつけた。	テレビをつけた。
Conj9					《「から」：根拠・理由用法の「から」：後件の含意》		yes	"conjunction, kara"	entailment		今月は仕事を頑張ったから、美味しいものでも食べよう。	美味しいものでも食べよう。
Conj10					《「から」：根拠・理由用法の「から」：後件の含意》		yes	"conjunction, kara"	entailment		来年は忙しくなるだろうから、今年のうちに遊んでおこう。	今年のうちに遊んでおこう。
Conj11					《「から」：根拠・理由用法の「から」：「ので」への言い換え》		yes	"conjunction, kara"	entailment		ここは危ないから、入ってはいけません。	ここは危ないので、入ってはいけません。
Conj12					《「から」：根拠・理由用法の「から」：「ので」への言い換え》		yes	"conjunction, kara"	entailment		午後に来客があるから、部屋を掃除した。	午後に来客があるので、部屋を掃除した。
Conj13					《「から」：根拠・理由用法の「から」：「ので」への言い換え》		yes	"conjunction, kara"	entailment		何もすることがなくて暇だったから、テレビをつけた。	何もすることがなくて暇だったので、テレビをつけた。
Conj14					《「から」：根拠・理由用法の「から」：「ので」への言い換え》		yes	"conjunction, kara"	entailment		今月は仕事を頑張ったから、美味しいものでも食べよう。	今月は仕事を頑張ったので、美味しいものでも食べよう。
Conj15					《「から」：根拠・理由用法の「から」：「ので」への言い換え》		unacceptable	"conjunction, kara"			来年は忙しくなるだろうから、今年のうちに遊んでおこう。	来年は忙しくなるだろうので、今年のうちに遊んでおこう。
