Mod1					《「はず」：当然の帰結を表す「はず」：「はず」の付く命題内容の事実性》		yes	"modality, hazu"	entailment	当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	犯人はすでに海外に逃亡していた。	どうりで捕まらないはずだ。	犯人は捕まっていない。														
Mod2					《「はず」：当然の帰結を表す「はず」：「はず」の付く命題内容の事実性》		yes	"modality, hazu"	entailment	当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	ディズニーランドに行ってみたら、とても楽しかった。	どうりで、みんなが行きたがるはずだ。	みんながディズニーランドに行きたがっている。														
Mod3					《「はず」：当然の帰結を表す「はず」：「はず」の付く命題内容の事実性》		yes	"modality, hazu"	entailment	当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	試割り用の板は、あらかじめ割ってあったのを接着剤でくっつけたものだった。	どうりで簡単に割れるはずだ。	試割り用の板は簡単に割れる。														
Mod4					《「はず」：当然の帰結を表す「はず」：「はず」の付く命題内容の事実性》		yes	"modality, hazu"	entailment	当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	太郎の父親は、高級料亭の板前だったという。	どうりで料理の手際がいいはずだ。	太郎の父親は料理の手際がいい。														
Mod5					《「はず」：当然の帰結を表す「はず」：「はず」の付く命題内容の事実性》		yes	"modality, hazu"	entailment	当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	花子はアメリカに住んでいたのか。	どうりで、英語がうまいはずだ。	花子は英語がうまい。														
Mod6					《「はず」：当然の帰結を表す「はず」：「～にちがいない」への置き換え不可》		unacceptable	"modality, hazu"		当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	犯人はすでに海外に逃亡していた。	どうりで捕まらないはずだ。	犯人はすでに海外に逃亡していた。道理で捕まらないに違いない。														
Mod7					《「はず」：当然の帰結を表す「はず」：「～にちがいない」への置き換え不可》		unacceptable	"modality, hazu"		当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	ディズニーランドに行ってみたら、とても楽しかった。	どうりで、みんなが行きたがるはずだ。	ディズニーランドに行ってみたら、とても楽しかった。道理で、みんなが行きたがるに違いない。														
Mod8					《「はず」：当然の帰結を表す「はず」：「～にちがいない」への置き換え不可》		unacceptable	"modality, hazu"		当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	試割り用の板は、あらかじめ割ってあったのを接着剤でくっつけたものだった。	どうりで簡単に割れるはずだ。	試割り用の板は、あらかじめ割ってあったのを接着剤でくっつけたものだった。道理で簡単に割れるに違いない。														
Mod9					《「はず」：当然の帰結を表す「はず」：「～にちがいない」への置き換え不可》		unacceptable	"modality, hazu"		当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	太郎の父親は、高級料亭の板前だったという。	どうりで料理の手際がいいはずだ。	太郎の父親は、高級料亭の板前だったという。道理で料理の手際がいいに違いない。														
Mod10					《「はず」：当然の帰結を表す「はず」：「～にちがいない」への置き換え不可》		unacceptable	"modality, hazu"		当然の帰結を表す「はず」。帰結の内容は、語り手/書き手にとって既知である。高橋(1975)の「ナルホドソウイウワケダという道理のさとりを表す用法」	花子はアメリカに住んでいたのか。	どうりで、英語がうまいはずだ。	花子はアメリカに住んでいたのか。道理で、英語がうまいに違いない。														
Mod11					《「はず」：証拠推量の「はず」：「はず」の付く命題内容は事実ではない》		unknown	"modality, hazu"		高橋 (1975)「予定や推定などきまりやたしかさのみこみを表す用法」	きっと次の試合は勝てるはずだ。	次の試合は勝てる。															
